red_player_cards,blue_player_cards,war
41,67,false
40,68,false
41,67,false
42,66,false
43,65,false
42,66,false
43,65,false
47,61,true
46,62,false
47,61,false
46,62,false
45,63,false
46,62,false
47,61,false
48,60,false
47,61,false
48,60,false
49,59,false
48,60,false
47,61,false
48,60,false
47,61,false
46,62,false
45,63,false
44,64,false
43,65,false
44,64,false
45,63,false
46,62,false
47,61,false
48,60,false
47,61,false
48,60,false
47,61,false
48,60,false
49,59,false
50,58,false
49,59,false
48,60,false
44,64,true
45,63,false
46,62,false
45,63,false
46,62,false
45,63,false
44,64,false
43,65,false
42,66,false
41,67,false
42,66,false
41,67,false
42,66,false
41,67,false
40,68,false
41,67,false
40,68,false
39,69,false
40,68,false
39,69,false
38,70,false
39,69,false
40,68,false
39,69,false
40,68,false
41,67,false
42,66,false
43,65,false
44,64,false
45,63,false
46,62,false
47,61,false
48,60,false
